30500	30474	26	0.000000
30474	30182	292	1.477351
30182	29890	292	35.414810
29890	29600	290	85.379273
29600	29308	292	152.000839
29308	29016	292	235.755914
29016	28726	290	336.551725
28726	28434	292	453.229085
28434	28143	291	587.646986
28143	27851	292	738.300803
27851	27559	292	906.785586
27559	27268	291	1091.260734
27268	26978	290	1296.140939
26978	26688	290	1509.711101
26688	26396	292	1742.800832
26396	26105	291	1995.029227
26105	25813	292	2262.531455
25813	25520	293	2547.876168
25520	25221	299	2855.574702
25221	24920	301	3178.249096
24920	24619	301	3529.718511
24619	24320	299	3893.481037
24320	23949	371	4286.684046
23949	23650	299	4796.444454
23650	23348	302	5210.708627
23348	23046	302	5647.139790
23046	22744	302	6100.199047
22744	22443	301	6571.000457
22443	22143	300	7059.851653
22143	21840	303	7561.497909
21840	21539	301	8085.406324
21539	21236	303	8623.468112
21236	20935	301	9190.162357
20935	20634	301	9768.259400
20634	20331	303	10348.305503
20331	20030	301	10961.962443
20030	19729	301	11596.611670
19729	19430	299	12227.808452
19430	19131	299	12883.539883
19131	18830	301	13556.973876
18830	18530	300	14252.533683
18530	18232	298	14966.320415
18232	17943	289	15683.065776
17943	17654	289	16405.732038
17654	17367	287	17132.948702
17367	17079	288	17884.371892
17079	16792	287	18642.181877
16792	16506	286	19420.147804
16506	16220	286	20213.878851
16220	15936	284	21045.234820
15936	15650	286	21840.750295
15650	15365	285	22682.699393
15365	15078	287	23534.716445
15078	14795	283	24414.749242
14795	14507	288	25314.830406
14507	14224	283	26208.023036
14224	13944	280	27122.734674
13944	13659	285	28049.013273
13659	13379	280	28993.553245
13379	13095	284	29947.737931
13095	12811	284	30930.065787
12811	12528	283	31927.500343
12528	12242	286	32941.369653
12242	11960	282	33978.988242
11960	11678	282	35029.322761
11678	11388	290	36092.268767
11388	11215	173	36995.066963
11215	11154	61	37436.331947
11154	11080	74	37595.995530
11080	11011	69	37797.350597
11011	10943	68	37970.891014
10943	10876	67	38149.929711
10876	10805	71	38329.452990
10805	10737	68	38522.020973
10737	10671	66	38708.074193
10671	10603	68	38893.012030
10603	10535	68	39079.626237
10535	10466	69	39271.464466
10466	10400	66	39466.535288
10400	10330	70	39656.488720
10330	10260	70	39859.614399
10260	10193	67	40062.821211
10193	10126	67	40259.318703
10126	10054	72	40457.843939
10054	9987	67	40672.766156
9987	9919	68	40875.479644
9919	9851	68	41082.142286
9851	9781	70	41291.026385
9781	9713	68	41506.940742
9713	9647	66	41719.716292
9647	9578	69	41926.853750
9578	9509	69	42150.134746
9509	9439	70	42366.778102
9439	9371	68	42592.144970
9371	9303	68	42812.478389
9303	9187	116	43035.018418
9187	9124	63	43470.231189
9124	9055	69	43678.190720
9055	8988	67	43909.950326
8988	8919	69	44135.322872
8919	8853	66	44376.064428
8853	8784	69	44596.852558
8784	8716	68	44835.378086
8716	8650	66	45074.934375
8650	8585	65	45303.156262
8585	8514	71	45532.852011
8514	8446	68	45791.023784
8446	8380	66	46035.023776
8380	8264	116	46269.871454
8264	8199	65	46741.386391
8199	8134	65	46979.250544
8134	8068	66	47223.693869
8068	7998	70	47464.742542
7998	7930	68	47726.708714
7930	7864	66	47982.075324
7864	7797	67	48232.781949
7797	7729	68	48488.147797
7729	7662	67	48751.070939
7662	7598	64	49008.728631
7598	7529	69	49257.943510
7529	7463	66	49529.265866
7463	7396	67	49789.153097
7396	7331	65	50055.177175
7331	7099	232	50314.869849
7099	7042	57	51598.014516
7042	6973	69	51846.589503
6973	6906	67	52108.584151
6906	6840	66	52383.215025
6840	6667	173	52724.196612
6667	6609	58	53447.175005
6609	6545	64	53689.716285
6545	6475	70	53960.625166
6475	6410	65	54257.312106
6410	6345	65	54541.900670
6345	6275	70	54813.778229
6275	6161	114	55116.034699
6161	6093	68	55673.167454
6093	6026	67	55970.496927
6026	5952	74	56268.635819
5952	5884	68	56591.559691
5884	5814	70	56894.938222
5814	5745	69	57207.130734
5745	5675	70	57517.289603
5675	5607	68	57834.379129
5607	5541	66	58149.495855
5541	5469	72	58445.671966
5469	5400	69	58777.147480
5400	5333	67	59095.987498
5333	5263	70	59407.217161
5263	5197	66	59736.808329
5197	5132	65	60047.005902
5132	5070	62	60356.488067
5070	5008	62	60649.545352
5008	4941	67	60946.904924
4941	4875	66	61273.818666
4875	4812	63	61587.467261
4812	4749	63	61892.413186
4749	4683	66	62201.129831
4683	4617	66	62525.611018
4617	4554	63	62851.192360
4554	4493	61	63165.983527
4493	4425	68	63466.980045
4425	4361	64	63809.002207
4361	4298	63	64132.902416
4298	4234	64	64457.368485
4234	4170	64	64776.808858
4170	4105	65	65104.916521
4105	4043	62	65438.388384
4043	3981	62	65758.467732
3981	3914	67	66080.667546
3914	3849	65	66443.791411
3849	3787	62	66772.472337
3796	3723	73	67097.093827
3732	3658	74	67485.121309
3667	3593	74	67878.525254
3602	3531	71	68289.597134
3540	3469	71	68655.012203
3479	3403	76	69038.212776
3413	3339	74	69452.040898
3349	3277	72	69855.155995
3287	3213	74	70249.502996
3223	3148	75	70660.795656
3158	3083	75	71070.699866
3093	3020	73	71487.301170
3030	2960	70	71899.871010
2970	2893	77	72285.805557
2903	2829	74	72727.061695
2839	2766	73	73137.378325
2776	2702	74	73551.664524
2712	2637	75	73977.013261
2647	2524	123	74403.746499
2534	2467	67	75212.314554
2477	2400	77	75594.800598
