30500	30477	23	0.000000
30477	30182	295	1.281256
30182	29883	299	35.089657
29883	29582	301	86.280187
29582	29283	299	155.344648
29283	28909	374	250.408679
28909	28608	301	380.449744
28608	28310	298	503.157653
28310	27765	545	665.547468
27765	27466	299	986.291781
27466	27165	301	1164.302464
27165	26865	300	1360.995311
26865	26564	301	1573.961067
26564	26265	299	1804.046818
26265	25894	371	2050.900498
25894	25594	300	2406.576010
25594	25293	301	2690.144403
25293	24969	324	2991.596888
24969	24250	719	3426.771659
24250	23947	303	4384.165459
23947	23647	300	4747.347440
23647	23347	300	5124.429939
23347	23055	292	5519.431418
23055	22754	301	5919.959768
22754	22454	300	6349.332171
22454	22162	292	6800.693164
22162	21868	294	7247.158669
21868	21574	294	7718.009125
21574	21282	292	8206.134117
21282	20988	294	8706.613867
20988	20693	295	9228.862465
20693	20399	294	9769.204245
20399	20105	294	10324.864828
20105	19810	295	10896.903392
19810	18139	1671	12132.668854
18139	17843	296	15570.688054
17843	17550	293	16215.145719
17550	17259	291	16869.754525
17259	16969	290	17538.149729
16969	16679	290	18219.150847
16679	16392	287	18920.337601
16392	16105	287	19629.726665
16105	15817	288	20348.860026
15817	15530	287	21091.995596
15530	15243	287	21849.658412
15243	14959	284	22623.239860
14959	14674	285	23407.717632
14674	13994	680	24411.795457
13994	13534	460	27043.892472
13534	13247	287	28405.458883
13247	12962	285	29273.424531
12962	12678	284	30148.604741
12678	12398	280	31053.159860
12398	12117	281	31930.504590
12117	11836	281	32843.552491
11836	11553	283	33777.012731
11553	11270	283	34724.265324
11270	10985	285	35692.895489
10985	10693	292	36686.128482
10693	10517	176	37551.037477
10517	10453	64	37963.978796
10453	10382	71	38117.704467
10382	10312	70	38290.096056
10312	10239	73	38462.940042
10239	10172	67	38642.501741
10172	10104	68	38816.816398
10104	10034	70	38982.574830
10034	9965	69	39161.706458
9965	9898	67	39339.643957
9898	9822	76	39514.157188
9822	9753	69	39714.498029
9753	9684	69	39897.848751
9684	9614	70	40083.107837
9614	8171	1443	40272.691992
8171	8156	15	51305.762269
8156	8089	67	51347.874202
8089	8015	74	51537.455101
8015	7943	72	51748.816730
7943	7873	70	51956.239189
7873	7801	72	52164.390649
7801	7728	73	52370.646571
7728	7654	74	52591.334809
7654	7584	70	52807.838117
7584	7510	74	53018.637964
7510	7437	73	53244.728415
7437	7367	70	53466.839175
7367	7295	72	53682.589955
7295	7223	72	53907.066052
7223	6560	663	54241.781917
6560	6520	40	57465.745259
6520	6449	71	57594.346082
6449	6378	71	57830.496493
6378	6308	70	58056.458640
6308	6235	73	58286.816783
6235	6162	73	58534.212045
6162	6092	70	58772.569483
6092	6025	67	59008.881515
6025	5951	74	59239.008221
5951	5882	69	59488.402818
5882	5813	69	59728.163198
5813	5746	67	59965.688233
5746	5680	66	60199.765516
5680	5614	66	60431.619656
5614	5549	65	60666.534793
5549	5482	67	60898.238451
5482	5416	66	61139.499539
5416	5350	66	61379.229595
5350	5285	65	61619.699794
5285	5218	67	61859.032378
5218	5152	66	62106.065938
5152	5087	65	62358.875384
5087	5022	65	62596.038462
5022	4954	68	62842.122833
4954	4888	66	63100.918129
4888	4774	114	63353.272826
4774	4710	64	63859.361206
4710	4645	65	64101.763929
4645	4578	67	64355.261019
4578	4513	65	64619.508332
4513	4445	68	64876.445991
4445	4380	65	65149.398330
4380	4315	65	65409.500105
4315	4251	64	65670.660071
4251	4185	66	65930.556374
4185	4121	64	66200.953182
4121	4058	63	66464.276131
4058	3995	63	66724.933476
3995	3927	68	66987.297070
3927	3863	64	67272.085267
3863	3798	65	67541.956593
3805	3735	70	67818.297797
3742	3669	73	68123.381759
3676	3605	71	68429.828730
3613	3540	73	68738.048418
3548	3478	70	69054.097022
3486	3411	75	69359.374506
3419	3346	73	69690.830873
3354	3282	72	70023.154283
3290	3220	70	70332.145150
3228	3154	74	70645.427761
3162	3090	72	70978.004684
3098	3027	71	71303.860595
3035	2964	71	71630.509352
2972	2898	74	71951.770475
2906	2834	72	72292.409249
2842	2771	71	72632.080724
2779	2706	73	72972.235399
2714	2642	72	73304.094661
2650	2578	72	73635.002587
2586	2515	71	73981.911700
2523	2453	70	74314.475241
2461	2387	74	74647.898939
2395	2323	72	75006.274566
2340	2259	81	75358.230955
2277	2195	82	75744.195482
2213	2130	83	76146.096131
2148	2065	83	76551.860877
2083	2002	81	76961.861773
2020	1940	80	77362.716683
1958	1874	84	77761.976280
1892	1810	82	78182.625616
1837	1746	91	78595.199367
1774	1683	91	79055.525948
1711	1448	263	79544.176324
1485	1391	94	81418.584677
1438	1324	114	81868.151760
1381	1258	123	82458.037463
1325	1193	132	83094.690217
1270	1126	144	83785.370156
1223	1062	161	84541.590892
1189	998	191	85426.338297
1184	934	250	86459.316916
1269	849	420	87710.094142
