30500	30500	0	0.000000
30475	30377	98	0.000000
30174	30078	96	11.217616
29875	29778	97	27.728284
29575	29479	96	50.084980
29275	29178	97	77.619036
28975	28877	98	111.129911
28675	28577	98	150.582677
28374	28278	96	195.776873
28074	27978	96	245.517080
27775	27677	98	300.773397
27474	27377	97	362.715720
27176	27077	99	429.872259
26875	26778	97	504.153878
26575	26478	97	582.124262
26276	26179	97	666.005129
25974	25878	96	755.366609
25675	25578	97	849.229873
25375	25278	97	949.776766
25075	24977	98	1055.895746
24775	24679	96	1168.658530
24474	24378	96	1284.723234
24175	24077	98	1406.282609
23875	23777	98	1536.996559
23574	23477	97	1671.544002
23273	23176	97	1811.423999
22973	22876	97	1958.611582
22673	22576	97	2107.348355
22371	22273	98	2263.849640
22070	21972	98	2427.776360
21768	21671	97	2596.794955
21474	21378	96	2769.970172
21183	21085	98	2946.784638
20890	20791	99	3133.250818
20597	20496	101	3326.649681
20303	20203	100	3530.541453
20008	19910	98	3737.874415
19716	19616	100	3946.651219
19422	19321	101	4165.221878
19131	19029	102	4392.276221
18840	18736	104	4627.322670
18549	18444	105	4872.731369
18257	18152	105	5126.306694
17967	17863	104	5386.932280
17677	17571	106	5650.244548
17387	17284	103	5926.183198
17100	16996	104	6197.072110
16811	16707	104	6479.169910
16525	16418	107	6766.064612
16239	16132	107	7067.779943
15949	15846	103	7375.815694
15665	15561	104	7680.166171
15379	15275	104	7990.085985
15093	14988	105	8306.184400
14807	14702	105	8638.487245
14522	14418	104	8969.640413
14238	14135	103	9300.402516
13955	13852	103	9639.131143
13673	13571	102	9983.676906
13391	13290	101	10329.751520
13107	13008	99	10678.765387
12823	12727	96	11029.328889
12541	12444	97	11369.479082
12255	12159	96	11721.341044
11974	11876	98	12075.166838
11692	11593	99	12441.589579
11409	11306	103	12818.234522
11109	11097	12	13147.971049
10933	10951	-18	13179.119621
10864	10874	-10	13226.266601
10787	10796	-9	13252.680331
10713	10722	-9	13277.135880
10641	10653	-12	13300.909283
10517	10533	-16	13337.637196
10446	10458	-12	13381.645325
10375	10389	-14	13415.810300
10302	10313	-11	13454.575907
10228	10237	-9	13485.516459
10156	10169	-13	13510.929581
10082	10093	-11	13548.366282
10008	10016	-8	13580.215128
9935	9944	-9	13603.667710
9862	9874	-12	13630.283316
9789	9800	-11	13666.112152
9716	9725	-9	13699.084314
9644	9657	-13	13726.680284
9569	9581	-12	13767.827597
9497	9506	-9	13803.060386
9424	9433	-9	13830.918939
9352	9363	-11	13859.204271
9278	9288	-10	13893.916339
9205	9215	-10	13925.782835
9134	9146	-12	13957.865466
9061	9072	-11	13996.719553
8988	8997	-9	14032.566309
8916	8926	-10	14062.061484
8845	8856	-11	14095.258372
8771	8781	-10	14134.357617
8699	8707	-8	14165.829994
8628	8639	-11	14192.885765
8556	8566	-10	14230.384727
8380	8405	-25	14273.463358
8315	8330	-15	14360.610545
8241	8252	-11	14413.122984
8170	8177	-7	14451.791716
8098	8110	-12	14476.756911
8025	8034	-9	14519.478109
7951	7958	-7	14551.742035
7881	7890	-9	14577.160354
7810	7822	-12	14610.054118
7738	7746	-8	14654.166262
7666	7675	-9	14683.736258
7596	7608	-12	14717.393724
7523	7533	-10	14762.361630
7456	7465	-9	14800.148330
7384	7392	-8	14834.384370
7319	7331	-12	14864.982957
7246	7255	-9	14911.216639
7176	7183	-7	14947.502020
7105	7115	-10	14973.805563
7034	7043	-9	15013.159115
6966	6976	-10	15048.767209
6900	6909	-9	15088.670042
6834	6846	-12	15124.640463
6768	6777	-9	15173.211416
6700	6710	-10	15209.752169
6635	6643	-8	15250.518217
6569	6582	-13	15283.488808
6501	6512	-11	15338.635050
6435	6444	-9	15383.272470
6369	6377	-8	15420.978402
6304	6316	-12	15454.729183
6236	6247	-11	15505.517189
6171	6180	-9	15552.494175
6106	6115	-9	15591.073610
6041	6053	-12	15629.962447
5972	5981	-9	15682.003556
5908	5917	-9	15721.255085
5842	5852	-10	15760.822470
5777	5788	-11	15804.937152
