-30500	-30500	0	0.000000
-30495	-30453	-42	0.000000
-30310	-30268	-42	4.762335
-30123	-30082	-41	11.949492
-29937	-29895	-42	21.372556
-29752	-29713	-39	33.387523
-29568	-29527	-41	46.846897
-29381	-29341	-40	63.300346
-29196	-29154	-42	81.691993
-29009	-28967	-42	103.360480
-28823	-28783	-40	127.495547
-28637	-28597	-40	152.745722
-28451	-28410	-41	181.347744
-28264	-28223	-41	210.969761
-28079	-28039	-40	244.005281
-27894	-27854	-40	278.458136
-27708	-27668	-40	315.292079
-27522	-27481	-41	354.404747
-27337	-27295	-42	398.095968
-27152	-27111	-41	442.790515
-26966	-26926	-40	489.908521
-26781	-26740	-41	538.213821
-26595	-26553	-42	590.122010
-26408	-26366	-42	645.700280
-26219	-26177	-42	703.702732
-26028	-25986	-42	764.201699
-25837	-25795	-42	826.960632
-25647	-25604	-43	892.312338
-25457	-25414	-43	961.537591
-25267	-25225	-42	1033.304498
-25078	-25035	-43	1105.826542
-24887	-24845	-42	1182.530504
-24697	-24653	-44	1259.900161
-24507	-24464	-43	1344.213474
-24319	-24275	-44	1427.626667
-24129	-24086	-43	1516.354806
-23940	-23897	-43	1605.548414
-23750	-23706	-44	1697.196550
-23561	-23517	-44	1793.405611
-23372	-23329	-43	1892.042659
-23183	-23139	-44	1991.029611
-22993	-22949	-44	2094.878556
-22804	-22758	-46	2201.283720
-22614	-22570	-44	2315.144349
-22427	-22382	-45	2426.589898
-22237	-22193	-44	2543.180039
-22047	-22003	-44	2659.655016
-21858	-21813	-45	2778.724811
-21670	-21625	-45	2903.307176
-21482	-21437	-45	3030.176882
-21294	-21249	-45	3163.610809
-21106	-21060	-46	3291.915498
-20917	-20871	-46	3429.670701
-20729	-20682	-47	3569.906829
-20541	-20494	-47	3716.159589
-20350	-20306	-44	3864.844016
-20162	-20117	-45	4006.665760
-19975	-19929	-46	4154.630441
-19788	-19742	-46	4308.024254
-19600	-19554	-46	4464.305387
-19414	-19371	-43	4623.534713
-19226	-19183	-43	4774.562506
-19037	-18994	-43	4927.704503
-18846	-18808	-38	5083.778681
-18652	-18622	-30	5224.280501
