0.414825 896418803602.000000 0.007845	0.410849	2.000000	-0.057009	2.057009 0.150537	1.532089	-0.057000	1.589089	0.115779	-1.285575	0.001000	-1.286575	0.095533	33526.068233
0.422736 896418820307.000000 0.008041	0.418887	2.000000	-0.057009	2.057009 0.157466	1.532089	-0.057000	1.589089	0.121131	-1.285575	0.001000	-1.286575	0.099867	32270.249926
0.429607 896418836021.000000 0.007564	0.426448	2.000000	-0.057009	2.057009 0.164101	1.532089	-0.057000	1.589089	0.126257	-1.285575	0.001000	-1.286575	0.104017	30991.765376
0.437424 896418851003.000000 0.007212	0.433658	2.000000	-0.118068	2.118068 0.170725	1.532089	-0.118000	1.650089	0.131417	-1.285575	0.004000	-1.289575	0.108050	29691.664803
0.447411 896418868834.000000 0.008583	0.442237	2.000000	-0.118068	2.118068 0.178764	1.532089	-0.118000	1.650089	0.137680	-1.285575	0.004000	-1.289575	0.112944	39452.388107
0.455010 896418888002.000000 0.009226	0.451462	2.000000	-0.118068	2.118068 0.187586	1.532089	-0.118000	1.650089	0.144553	-1.285575	0.004000	-1.289575	0.118316	37980.031757
0.463035 896418903836.000000 0.007621	0.459080	2.000000	-0.118068	2.118068 0.194996	1.532089	-0.118000	1.650089	0.150326	-1.285575	0.004000	-1.289575	0.122827	36482.831610
0.470733 896418920257.000000 0.007904	0.466983	2.000000	-0.118068	2.118068 0.202814	1.532089	-0.118000	1.650089	0.156417	-1.285575	0.004000	-1.289575	0.127587	34959.857062
0.478308 896418936397.000000 0.007768	0.474748	2.000000	-0.118068	2.118068 0.210625	1.532089	-0.118000	1.650089	0.162502	-1.285575	0.004000	-1.289575	0.132343	33411.560075
0.485924 896418952431.000000 0.007718	0.482465	2.000000	-0.118068	2.118068 0.218512	1.532089	-0.118000	1.650089	0.168646	-1.285575	0.004000	-1.289575	0.137145	31838.096012
0.493941 896418967597.000000 0.007300	0.489761	2.000000	-0.118068	2.118068 0.226084	1.532089	-0.118000	1.650089	0.174545	-1.285575	0.004000	-1.289575	0.141755	30240.836453
0.501422 896418984079.000000 0.007933	0.497692	2.000000	-0.118068	2.118068 0.234447	1.532089	-0.118000	1.650089	0.181060	-1.285575	0.004000	-1.289575	0.146847	28617.709904
0.508934 896419000354.000000 0.007834	0.505524	2.000000	-0.118068	2.118068 0.242835	1.532089	-0.118000	1.650089	0.187595	-1.285575	0.004000	-1.289575	0.151954	26969.041213
0.516499 896419015654.000000 0.007365	0.512886	2.000000	-0.118068	2.118068 0.250835	1.532089	-0.118000	1.650089	0.193828	-1.285575	0.004000	-1.289575	0.156825	25296.363598
0.523287 896419030891.000000 0.007334	0.520218	2.000000	-0.118068	2.118068 0.258916	1.532089	-0.118000	1.650089	0.200123	-1.285575	0.004000	-1.289575	0.161745	23599.774358
0.529822 896419044815.000000 0.006702	0.526918	2.000000	-0.118068	2.118068 0.266396	1.532089	-0.118000	1.650089	0.205950	-1.285575	0.004000	-1.289575	0.166299	21881.335570
0.536572 896419058188.000000 0.006436	0.533352	2.000000	-0.058034	2.058034 0.273461	1.532089	-0.058000	1.590089	0.211409	-1.285575	-0.002000	-1.283575	0.170705	20141.911926
0.543659 896419073123.000000 0.007188	0.540539	2.000000	-0.058034	2.058034 0.281457	1.532089	-0.058000	1.590089	0.217587	-1.285575	-0.002000	-1.283575	0.175692	18764.792643
0.551391 896419087599.000000 0.006967	0.547505	2.000000	-0.058034	2.058034 0.289308	1.532089	-0.058000	1.590089	0.223652	-1.285575	-0.002000	-1.283575	0.180588	16866.419895
0.558503 896419103832.000000 0.007813	0.555317	2.000000	-0.058034	2.058034 0.298237	1.532089	-0.058000	1.590089	0.230551	-1.285575	-0.002000	-1.283575	0.186158	14940.961621
0.566201 896419119124.000000 0.007360	0.562675	2.000000	-0.058034	2.058034 0.306760	1.532089	-0.058000	1.590089	0.237137	-1.285575	-0.002000	-1.283575	0.191473	12989.991163
0.572818 896419134075.000000 0.007196	0.569869	2.000000	-0.058034	2.058034 0.315200	1.532089	-0.058000	1.590089	0.243657	-1.285575	-0.002000	-1.283575	0.196737	11014.075793
0.579266 896419147606.000000 0.006512	0.576379	2.000000	-0.058034	2.058034 0.322925	1.532089	-0.058000	1.590089	0.249626	-1.285575	-0.002000	-1.283575	0.201555	9015.586370
0.585758 896419161027.000000 0.006460	0.582837	2.000000	-0.058034	2.058034 0.330673	1.532089	-0.058000	1.590089	0.255613	-1.285575	-0.002000	-1.283575	0.206388	6994.704754
0.592088 896419174282.000000 0.006380	0.589216	2.000000	-0.058034	2.058034 0.338410	1.532089	-0.058000	1.590089	0.261590	-1.285575	-0.002000	-1.283575	0.211213	4951.707907
0.598753 896419188134.000000 0.006667	0.595882	2.000000	-0.058034	2.058034 0.346586	1.532089	-0.058000	1.590089	0.267907	-1.285575	-0.002000	-1.283575	0.216313	2885.598099
0.605026 896419201155.000000 0.006268	0.602147	2.000000	-0.058034	2.058034 0.354353	1.532089	-0.058000	1.590089	0.273908	-1.285575	-0.002000	-1.283575	0.221157	797.763477
0.611526 896419214425.000000 0.006387	0.608532	2.000000	-0.058034	2.058034 0.362353	1.532089	-0.058000	1.590089	0.280089	-1.285575	-0.002000	-1.283575	0.226146	-1312.209734
0.617896 896419227963.000000 0.006516	0.615047	2.000000	-0.058034	2.058034 0.370601	1.532089	-0.058000	1.590089	0.286462	-1.285575	-0.002000	-1.283575	0.231290	-3444.772014
0.624325 896419241382.000000 0.006459	0.621504	2.000000	-0.058034	2.058034 0.378863	1.532089	-0.058000	1.590089	0.292845	-1.285575	-0.002000	-1.283575	0.236443	-5599.723150
0.631255 896419255521.000000 0.006805	0.628308	2.000000	-0.058034	2.058034 0.387663	1.532089	-0.058000	1.590089	0.299644	-1.285575	-0.002000	-1.283575	0.241932	-7778.264422
0.638063 896419269169.000000 0.006569	0.634874	2.000000	0.010198	1.989802 0.395961	1.532089	0.002000	1.530089	0.306025	-1.285575	-0.010000	-1.275575	0.247252	-2853.054548
